7zip 24.09-3
libnautilus-extension 47.1-2
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-3
libnfnetlink 1.0.2-2
libnftnl 1.2.8-1
libnghttp2 1.64.0-1
libnghttp3 1.7.0-1
libngtcp2 1.10.0-1
libnice 0.1.22-1
libnl 3.11.0-1
libnm 1.50.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnotify 0.8.3-1
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libodfgen 0.1.8-3
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libopenmpt 0.7.12-1
libopenshot 0.4.0-1
libopenshot-audio 0.4.0-1
liborcus 0.19.2-4
libp11-kit 0.25.5-1
libpagemaker 0.0.4-4
libpcap 1.10.5-2
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.8-1
libpipewire 1:1.2.7-1
libplacebo 7.349.0-3
libpng 1.6.44-1
libportal 0.8.1-1
libportal-gtk4 0.8.1-1
libproxy 0.5.9-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libqxp 0.0.2-12
libraqm 0.10.2-1
libraw1394 2.1.2-4
libreoffice-fresh 24.8.4-1
librevenge 0.0.5-3
librsvg 2:2.59.2-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.5.5-4
libsecret 0.21.4-1
libshout 1:2.4.6-3
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsixel 1.10.3-7
libsm 1.2.5-1
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup3 3.6.1-1
libsoxr 0.1.3-4
libsrtp 1:2.6.0-1
libssh 0.11.1-1
libssh2 1.11.1-1
libstaroffice 0.0.7-3
libstemmer 2.2.0-2
libsysprof-capture 47.2-1
libtasn1 4.19.0-2
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.7.0-1
libtirpc 1.3.6-1
libtommath 1.3.0-1
libtool 2.5.4+r1+gbaa1fe41-1
libtorrent-rasterbar 1:2.0.10-4
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.1-3
liburcu 0.15.0-1
libusb 1.0.27-1
libutempter 1.2.1-4
libutf8proc 2.9.0-1
libuv 1.49.2-1
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvisio 0.1.8-1
libvorbis 1.3.7-3
libvpl 2.14.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.14.0-1
libwebp 1.5.0-1
libwpd 0.10.3-5
libwps 0.4.14-2
libx11 1.8.10-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.37-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdg-basedir 1.2.3-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfce4ui 4.20.0-3
libxfce4util 4.20.0-2
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxml2 2.13.5-2
libxmlb 0.3.21-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.42-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libzmf 0.0.2-16
licenses 20240728-1
linux 6.12.8.arch1-1
linux-api-headers 6.10-1
linux-firmware 20241210.b00a7f7e-1
linux-firmware-whence 20241210.b00a7f7e-1
linux-headers 6.12.8.arch1-1
linux-wifi-hotspot 4.7.1-1
linux-wifi-hotspot-debug 4.7.1-1
llvm-libs 18.1.8-5
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lolcat 100.0.1-3
lpsolve 5.5.2.11-3
lsof 4.99.4-1
lua 5.4.7-1
lua51-lpeg 1.1.0-3
lua52 5.2.4-7
lua53 5.3.6-3
luajit 2.1.1731601260-1
luit 20240910-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
mbedtls 3.6.2-1
mbedtls2 2.28.9-1
md4c 0.5.2-1
mesa 1:24.3.3-1
mesa-utils 9.0.0-5
minikube 1.34.0-2
minizip 1:1.3.1-2
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20240407-1
mongodb-bin-debug 7.0.6-1
mongosh-bin 2.2.10-1
mongosh-bin-debug 2.2.10-1
mono 6.12.0.206-1
mono-msbuild 16.10.1.xamarinxplat.2021.05.26.14.00-5
mono-msbuild-sdkresolver 16.10.1.xamarinxplat.2021.05.26.14.00-5
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.10-1
mpv 1:0.39.0-4
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.46-1
mujs 1.3.5-1
nano 8.3-1
ncdu 2.7-1
ncurses 6.5-3
neofetch 7.1.0-2
neon 0.34.0-1
neovim 0.10.3-1
net-tools 2.10-3
nethack 3.6.7-6
netstandard-targeting-pack 8.0.11.sdk111-1
nettle 3.10.1-1
network-manager-applet 1.36.0-1
networkmanager 1.50.1-1
nftables 1:1.1.1-2
nitrogen 1.6.1-6
nm-connection-editor 1.36.0-1
nmap 7.95-1
node-gyp 11.0.0-1
nodejs 23.1.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.01.01-1
noto-fonts-emoji 1:2.047-1
noto-fonts-extra 1:2025.01.01-1
npm 11.0.0-1
npth 1.8-1
nspr 4.36-1
nss 3.107-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p18-2
numactl 2.0.19-1
obs-studio 31.0.0-4
obsidian 1.7.7-1
ocl-icd 2.3.2-2
onetbb 2022.0.0-2
oniguruma 6.9.10-1
openal 1.24.1-1
opencore-amr 0.1.6-2
opencv 4.10.0-18
openexr 3.3.2-1
openjade 1.3.2-8
openjpeg2 2.5.3-1
openmpi 5.0.6-2
openpmix 5.0.5-1
opensp 1.5.2-10
openssh 9.9p1-2
openssl 3.4.0-1
openssl-1.1 1.1.1.w-2
openucx 1.17.0-3
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20250101-1
pahole 1:1.28-3
pam 1.7.0-1
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.1-1
perl 5.40.0-1
perl-clone 0.47-1
perl-curses 1.45-2
perl-encode-locale 1.05-13
perl-error 0.17029-7
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-io-html 1.004-6
perl-libwww 6.77-2
perl-lwp-mediatypes 6.04-6
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-term-animation 2.6-12
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.31-1
perl-www-robotrules 6.02-14
pgadmin4-desktop-debug 8.9-1
pgadmin4-server-debug 8.9-1
picom-git 2513_11.496.g05c764c6_2024.06.30-1
picom-git-debug 2513_11.496.g05c764c6_2024.06.30-1
pinentry 1.3.1-5
pinta 2.1.2-2
pipewire 1:1.2.7-1
pixman 0.44.2-1
pkgconf 2.3.0-1
polkit 125-1
polybar 3.7.2-2
poppler 24.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
postman-bin 11.2.0-1
procps-ng 4.0.5-1
proj 9.5.1-1
protobuf 29.2-1
prrte 3.0.8-1
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
pulsemixer 1.5.1-7
pyinstaller 6.4.0-1
pyinstaller-debug 6.4.0-1
pyinstaller-hooks-contrib 2024.7-1
python 3.13.1-1
python-absl 2.1.0-3
python-accessible-pygments 0.0.5-1
python-aiohappyeyeballs 2.4.4-1
python-aiohttp 3.10.5-2
python-aiosignal 1.3.1-8
python-altgraph 0.17.4-1
python-annotated-types 0.7.0-2
python-argcomplete 3.4.0-2
python-astropy 7.0.0-2
python-astropy-iers-data 0.2024.12.23.0.33.24-1
python-astroquery 0.4.7-2
python-asttokens 3.0.0-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-babel 2.15.0-2
python-basemap 1.4.1-5
python-basemap-common 1.4.1-5
python-bcrypt 4.2.1-2
python-beautifulsoup4 4.12.3-3
python-blinker 1.8.2-2
python-bluepy 1.3.0-11
python-botocore 1.35.88-1
python-build 1.2.2-3
python-cairo 1.27.0-2
python-certifi 2024.12.14-1
python-cffi 1.17.1-2
python-charset-normalizer 3.4.1-1
python-click 8.1.7-4
python-colorama 0.4.6-5
python-comm 0.2.2-3
python-contourpy 1.3.1-2
python-coverage 7.6.10-1
python-cryptography 44.0.0-1
python-cycler 0.12.1-3
python-darkdetect 0.8.0-4
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-decorator 5.1.1-5
python-distro 1.9.0-3
python-dnspython 1:2.6.1-2
python-docutils 1:0.21.2-3
python-execnet 2.1.1-4
python-executing 2.1.0-2
python-fastjsonschema 2.21.1-1
python-filelock 3.16.1-2
python-flask 3.1.0-1
python-fonttools 4.55.3-2
python-frozenlist 1.4.1-4
python-gobject 3.50.0-2
python-h11 0.14.0-6
python-html5lib 1.1-15
python-idna 3.10-2
python-imagesize 1.4.1-6
python-importlib-metadata 7.2.1-4
python-inflect 7.5.0-1
python-iniconfig 2.0.0-6
python-installer 0.7.0-10
python-ipykernel 6.29.5-3
python-itsdangerous 2.1.2-5
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jedi 0.19.2-1
python-jeepney 0.8.0-4
python-jinja 1:3.1.5-1
python-jmespath 1.0.1-5
python-jupyter-client 8.6.3-3
python-jupyter-core 5.7.2-3
python-keyring 25.5.0-3
python-kiwisolver 1.4.5-5
python-lxml 5.3.0-2
python-lz4 4.3.3-3
python-markupsafe 2.1.5-3
python-matplotlib 3.10.0-1
python-matplotlib-inline 0.1.7-2
python-more-itertools 10.5.0-1
python-multidict 6.0.5-4
python-mysql-connector 9.1.0-2
python-nest-asyncio 1.6.0-4
python-netifaces 0.11.0-7
python-nose 1.3.7-18
python-numpy 2.2.1-2
python-opengl 3.1.7-2
python-ordered-set 4.1.0-7
python-outcome 1.3.0.post0-5
python-packaging 24.2-3
python-pandas 2.2.3-1
python-paramiko 3.5.0-1
python-parso 1:0.8.4-3
python-pexpect 4.9.0-3
python-pillow 11.0.0-3
python-pip 24.3.1-3
python-pipx 1.7.1-2
python-platformdirs 4.3.6-2
python-pluggy 1.5.0-3
python-ply 3.11-14
python-prompt_toolkit 3.0.48-2
python-psutil 6.1.1-1
python-ptyprocess 0.7.0-7
python-pure-eval 0.2.3-2
python-pyasn1 0.6.0-2
python-pycparser 2.22-3
python-pycryptodome 3.21.0-3
python-pydantic 2.10.4-1
python-pydantic-core 1:2.27.2-1
python-pydata-sphinx-theme 0.15.4-1
python-pyerfa 2.0.1.5-2
python-pygments 2.18.0-3
python-pymongo 4.10.1-2
python-pynacl 1.5.0-3
python-pyparsing 3.1.2-3
python-pyproj 3.7.0-2
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.16.1-2
python-pyqt5-webengine 5.15.7-2
python-pytest 1:8.3.4-1
python-pytest-astropy-header 0.2.2-1
python-pytest-cov 6.0.0-1
python-pytest-remotedata 0.4.1-1
python-pytest-xdist 3.6.1-2
python-pytz 2024.2-2
python-pyvo 1.5.2-1
python-pyzmq 26.2.0-1
python-rencode 1.0.6-10
python-requests 2.32.3-4
python-requests-mock 1.12.1-1
python-rsa 4.9-6
python-s3transfer 0.10.4-1
python-seaborn 0.13.2-2
python-secretstorage 3.3.3-6
python-selenium 4.22.0-1
python-setuptools 1:75.2.0-4
python-six 1.16.0-10
python-sniffio 1.3.1-4
python-snowballstemmer 2.2.0-7
python-sortedcontainers 2.4.0-7
python-soupsieve 2.6-2
python-sphinx 8.1.3-2
python-sphinx-alabaster-theme 1.0.0-4
python-sphinx-copybutton 0.5.2-3
python-sphinxcontrib-applehelp 2.0.0-3
python-sphinxcontrib-devhelp 2.0.0-4
python-sphinxcontrib-htmlhelp 2.1.0-3
python-sphinxcontrib-jsmath 1.0.1-19
python-sphinxcontrib-qthelp 2.0.0-3
python-sphinxcontrib-serializinghtml 2.0.0-3
